station  fo     Ao    f_sigma  A_sigma  N  C1  C2  C3  C4  C5  C6  Peak_type	   Peak_Qualily
  201   0.917  2.095   0.214    0.156  129  1   1   0   0   0   1   single          unclear
  202   0.867  2.157   0.069    0.167  135  1   1   1   1   1   1   single            clear
  203   1.217  2.972   0.105    0.159  117  1   1   1   1   1   1   single            clear
  204   1.592  3.140   0.110    0.114  104  1   1   1   0   1   1   single            clear
  205   1.285  2.658   0.104    0.166  105  1   1   1   1   1   1   single            clear
  206   1.325  4.655   0.024    0.233  116  1   1   1   0   1   1   single            clear
  207   -      -       -   	-      141  -   -   -   -   -   -   flat            unclear 
  208   1.317  3.070   0.165    0.099  126  1   1   1   1   1   1   single            clear
  209   1.591  1.859   0.322    0.069  104  -   -   -   -   -   -   broad           unclear   
  210   1.370  2.112   0.287    0.035  146  1   1   1   1   0   1   single            clear
  211   0.838  2.140   0.145    0.060  143  1   1   1   1   0   1   single            clear
  212   0.835  1.704   0.176    0.062  140  0   1   1   1   1   1   single            clear
  213   1.002  1.457   0.190    0.064  147  0   0   1   1   0   1   single          unclear
  214   1.138  1.640   0.358    0.131  144  1   1   1   0   0   1   multiple        unclear
  215   1.463  2.874   0.056    0.158  126  1   1   1   1   1   1   single            clear
  216   1.135  7.587   0.047    0.361  140  1   1   1   1   1   1   single            clear
  217   0.840  2.601   0.108    0.300  119  1   1   1   0   1   1   single            clear
  218   0.798  2.276   0.080    0.122  126  1   1   1   0   1   1   single            clear
  219   1.029  1.787   0.123    0.116  139  0   1   1   1   1   1   single            clear
  220   0.963  1.886   0.105    0.105  137  0   1   1   1   1   1   single            clear
  221   0.913  2.297   0.054    0.104  140  1   1   1   0   1   1   single            clear
  222   0.799  1.832   0.110    0.138  120  0   1   1   1   1   1   multiple          clear
  223   1.013  2.611   0.081    0.188  116  1   1   1   1   1   1   single            clear
  224   1.113  2.338   0.122    0.135  124  1   1   1   1   1   1   single            clear
  225   0.919  2.495   0.070    0.133  122  1   1   1   0   1   1   single            clear
  226   0.962  2.392   0.093    0.143  110  1   1   1   0   1   1   single            clear
  227   0.894  2.155   0.065    0.146  105  1   1   1   0   1   1   multiple          clear
  228   0.890  1.404   0.138    0.092   88  0   1   1   1   1   1   single            clear
  229   -      -       -   	-       88  -   -   -   -   -   -   flat            unclear
  230   0.763  1.671   0.461    0.118   92  0   1   0   0   0   1   multiple        unclear
  231   0.873  2.146   0.120    0.178   93  1   0   1   1   1   1   multiple          clear
  232   0.940  1.698   0.155    0.118   68  0   0   1   0   1   1   single          unclear
  233   1.125  1.489   0.070    0.111   73  0   1   1   1   1   1   single            clear
  234   1.163  2.021   0.075    0.120   68  1   1   1   1   1   1   single            clear
  235   1.017  1.628   0.110    0.091  101  0   1   1   0   1   1   single          unclear
  236   0.802  1.656   0.132    0.085  100  0   1   1   1   1   1   single            clear
  237   0.834  2.014   0.082    0.075  107  1   1   1   0   1   1   single            clear
  238   1.246  1.586   0.669    0.093   76  -   -   -   -   -   -   broad           unclear
  239   0.876  1.851   0.115    0.111   96  0   1   1   1   1   1   single            clear
  240   0.842  1.836   0.093    0.097   91  0   1   1   1   1   1   single            clear
  241   0.938  1.913   0.057    0.085   76  0   1   1   1   1   1   multiple          clear
  242   0.960  1.493   0.110    0.167   66  0   1   1   1   1   1   single            clear
  243   0.892  1.923   0.067    0.130  100  0   1   1   1   1   1   single            clear
  244   0.833  1.476   0.247    0.104   86  0   0   0   1   0   1   multiple        unclear
  245   0.797  1.562   0.158    0.055   88  0   1   1   1   1   1   multiple          clear
  246   0.752  1.883   0.594    0.089   89  0   0   1   0   0   1   multiple        unclear
  247   -      -       -   	-       95  -   -   -   -   -   -   flat            unclear
  248   0.767  2.052   0.140    0.100  102  1   1   1   1   0   1   single            clear
  249   0.625  2.105   0.416    0.178   93  -   -   -   -   -   -   broad           unclear
  250   0.954  2.054   0.114    0.169   68  1   1   1   0   1   1   single            clear
  251   1.069  2.273   0.172    0.299   69  1   1   1   0   0   1   single          unclear
  301   1.250  2.101   0.078    0.258   59  1   1   1   1   1   1   multiple          clear
  302   1.207  1.422   0.412    0.091   84  0   1   1   1   0   1   multiple        unclear
  303   1.090  1.679   0.151    0.136   85  0   1   1   1   1   1   single            clear
  304   0.800  1.583   0.159    0.089   98  0   1   1   1   1   1   single            clear
  305   -      -       -   	-      113  -   -   -   -   -   -   flat            unclear
  306   0.852  1.649   0.070    0.119   89  0   1   1   1   1   1   single            clear
  307   0.972  1.476   0.044    0.122   83  0   1   1   1   0   1   single          unclear
  308   1.052  2.443   0.188    0.118   84  1   1   1   1   0   1   single            clear
  309   0.952  2.459   0.101    0.158   76  1   1   1   1   1   1   single            clear
  310   -      -       -   	-       45  -   -   -   -   -   -   flat            unclear
  312   0.973  1.900   0.496    0.205   60  -   -   -   -   -   -   broad           unclear
  313   0.892  2.448   0.081    0.148   70  1   1   1   1   1   1   single            clear
  314   1.203  2.507   0.282    0.121   64  -   -   -   -   -   -   broad           unclear
  315   6.275  4.533   0.482    0.547   74  1   1   1   0   0   1   single          unclear
  316   0.923  2.205   0.081    0.088   86  1   1   1   1   1   1   single            clear
  317   1.104  1.986   0.403    0.114   72  -   -   -   -   -   -   broad           unclear
  318   0.894  1.939   0.117    0.112   70  0   1   1   1   1   1   single            clear
  319   0.802  2.047   0.231    0.093   81  1   1   1   0   0   1   single          unclear
  320   0.829  1.676   0.272    0.116   82  0   1   1   1   0   1   single          unclear
  321   1.000  1.890   0.135    0.120   72  0   1   1   1   1   1   single            clear
  322   0.873  1.752   0.133    0.130   71  0   0   1   0   1   1   multiple        unclear
  323   1.031  3.688   0.103    0.226   78  1   1   1   0   1   1   multiple          clear
  324   0.819  2.817   0.126    0.132   86  1   1   1   0   1   1   single            clear
  325   0.852  1.577   0.083    0.177   63  0   1   1   1   1   1   single            clear
  326   0.815  1.224   0.055    0.206   47  0   1   1   0   1   1   single          unclear
  327   0.879  1.932   0.045    0.183   67  0   1   1   1   1   1   single            clear
  328   0.858  2.395   0.081    0.163   71  1   1   1   1   1   1   single            clear
  329   0.915  2.704   0.058    0.149   92  1   1   1   0   1   1   single            clear
  330   0.867  2.128   0.377    0.129   80  -   -   -   -   -   -   broad           unclear
  331   0.748  1.804   0.117    0.135   63  0   1   1   1   1   1   single            clear
  332   0.790  2.003   0.139    0.135   73  1   1   1   0   1   1   single            clear
  333   0.870  1.605   0.270    0.114   85  0   1   1   0   0   1   multiple        unclear
  334   1.160  1.537   0.381    0.110   88  -   -   -   -   -   -   broad           unclear
  401   0.865  2.067   0.163    0.284   85  1   1   1   1   1   1   multiple          clear
  402   0.967  2.081   0.161    0.161   85  1   1   1   0   1   1   single            clear
  403   0.688  2.539   0.211    0.266   90  1   1   1   0   1   1   single            clear
